alias,productName,productNameAmh,instituteName,minimumBalance,repaymentOptions,collateralRequirements,financialGoals,loanCalculatorEnabled,term,isFeatured,digital,loanPurpose,processingFees,showonHomepage,interestPaymentPeriod,description,prepaymentPenalties,membershipRequired,openingBalance,category,interestMin,creditScoreRequirement,mandatorySaving,loanAmount,genderBased,instituteId,currency,interestMax,repaymentFrequency,subCategory,productType,disbursementTime,eligibilityCriteria,interestFree,insuranceRequirements,latePaymentPenalties
Merchandise-Loan-Facilities(MLF),Merchandise Loan Facilities,,Bank of Abyssinia,0,,,,,0,,FALSE,"This is a short-term credit facility, availed to customers against physical pledge of merchandise or documentary evidence(railway receipt, warehouse receipt, airway bills, and the like). ",0,,Monthly,"This is a short-term credit facility, availed to customers against physical pledge of merchandise or documentary evidence(railway receipt, warehouse receipt, airway bills, and the like). ",0,FALSE,0,Credit category1,0,0,FALSE,0,FALSE,g,,0,,,Credit,,,FALSE,,0
"Holiday,Vacation-&-Special-Purpose-Saving-Account(HVSPSA)","Holiday,Vacation & Special Purpose Saving Account",,NIB INTERNATIONAL BANK,50,,,,,,,FALSE,,,,Yearly,"This account shall be established for holiday specific to the account holder(s) to undertake certain venture, a project, vacation, trip, marriage or graduation ",,FALSE,50,targeted,0,,,,FALSE,,,0,,,Saving,,Individual or two persons,FALSE,,
Diaspora-Consumer-and-Mortgage-Account(DCMA),Diaspora Consumer and Mortgage Account,,Bank of Abyssinia,0,,,,,,,FALSE,,,,Yearly,"This interest-bearing account on which the source of deposit is foreign currency, allows you to start saving for your home and is used by residential house seekers as a way to have an early start on their home.  ",,FALSE,0,targeted,0,,,,FALSE,g,,0,,,Saving,,,FALSE,,
Teen-Youth-Saving-Account(TYSA),Teen Youth Saving Account,,Bank of Abyssinia,25,,,,,,,FALSE,,,,Yearly,"As a motive for teenagers to start saving from an early age, teen youth saving account is for individuals between 14-17 who can generate their own income",,FALSE,0,Standard,0,,,,FALSE,g,,0,,,Saving,,Age between 14-17 ,FALSE,,
Oro-Savings-Account(OSA),Oro Savings Account,,Oromia Bank,0,,,,,,,FALSE,,,,Yearly,"The Oro Savings Account is an interest-bearing account available to both physical and legal persons, including individuals and organizations",,FALSE,0,Standard,0,,,,FALSE,y,,0,,,Saving,,Regular,FALSE,,
Merchandise-Loan-Facility(MLF),Merchandise Loan Facility,,Wegagen Bank,0,,,,,0,,FALSE,"•	Provides a relieve to the customer against cash flow problems arising from money being tied up in merchandise.",0,,Monthly,"A Merchandise Loan is a short-term credit facility provided by the Bank against which the merchandise or documentary evidence (Railway Receipt, Warehouse Receipt and Airway Bills) is held as a pledge or collateral for the loan.",0,FALSE,0,Credit category1,0,0,FALSE,0,FALSE,h,,0,,,Credit,,Applicants who fulfils general and specific eligibility Criteria of the Bank,FALSE,,0
Special-Youth-Account(SYA),Special Youth Account,,Dashen Bank,0,,,,,,,TRUE,,,,Yearly,"Savings account for children below 18 years of age, opened and operated by their parent or guardian.",,FALSE,0,targeted,0,,,,FALSE,Q,,0,,,Saving,,YOUTH,FALSE,,
Saving-Account-for-Holiday(SAH),Saving Account for Holiday,,Tsehay Bank,0,,,,,,,FALSE,,,,Monthly,Holiday saving account is one of the saving products offered by Tsehay Bank. It is designed for people who want to save money for their holiday expenses,,FALSE,0,targeted,0,,,,FALSE,KFjxByv9,,0,,,Saving,,Regular,FALSE,,
Fixed-Time-Deposit(FTD),Fixed Time Deposit,,Bank of Abyssinia,0,,,,,,,FALSE,,,,Yearly,This is an interest bearing a foreign currency-denominated account time deposit with an agreed maturity date.,,FALSE,0,targeted,0,,,,FALSE,g,,0,,,Saving,,,FALSE,,
One-time-Merchandise-Loan(OTML),One-time Merchandise Loan,,Cooperative Bank Of Oromia,0,,,,,0,,FALSE,"merchandise loan availed only for a specified period, usually up to one year.",0,,Monthly,"merchandise loan availed only for a specified period, usually up to one year.",0,FALSE,0,Credit category1,0,0,FALSE,0,FALSE,a2yoGtTc,,0,,,Credit,,Business,FALSE,,0
Premium-Savings-Account(PSA),Premium Savings Account,,Berhan Bank,0,,,,,,,FALSE,,,,Yearly,Premium savings accounts are interest-bearing accounts with different threshold deposits that help to segment customers in terms of the contribution they make and the value they add to the business of the Bank. The Bank shall offer premium interest-bearing savings accounts and shall set various threshold deposit balances to determine the level of interest rate to be applied,,FALSE,0,Standard,0,,,,FALSE,1kOT4VpC,,0,,,Saving,,Regular,FALSE,,
Consumer-Loans(CL),Consumer Loans,,Enat Bank,0,,,,,0,,FALSE,"Enat Bank provided additional credit facilities for individual borrowers. These loans let you realize your dream to get your own House or Automobile, furnish your home, pay educational fee, to cover personal expenses like your travel, medical treatment expenses and to meet other obligations.  The Bank arranges a special credit facility, Enat’s Choice, aims to ease the work load of women around house via letting them enjoy a credit to purchase house hold equipments, furniture and kitchen appliances.",0,,Monthly,"Enat Bank provided additional credit facilities for individual borrowers. These loans let you realize your dream to get your own House or Automobile, furnish your home, pay educational fee, to cover personal expenses like your travel, medical treatment expenses and to meet other obligations.  The Bank arranges a special credit facility, Enat’s Choice, aims to ease the work load of women around house via letting them enjoy a credit to purchase house hold equipments, furniture and kitchen appliances.",0,FALSE,0,Credit category1,0,0,FALSE,0,FALSE,O,,0,,,Credit,,Individual borrowers,FALSE,,0
Special-Saving-Account(SSA),Special Saving Account,,Wegagen Bank,0,,,,,,,TRUE,,,,Yearly,Saving scheme for individuals who are legally travelling abroad for work through agencies,,FALSE,0,Standard,0,,,,FALSE,h,,0,,,Saving,,Regular,FALSE,,
Merchandise-Against-Goods-in-Transit/Import-Document(MAGIT)),Merchandise Against Goods in Transit/Import Document,,Tsehay Bank,0,,,,,0,,FALSE,This facility is availed against import LC document or goods in transit supported by complete set of import documents to bridge working capital shortage until the goods in transit are realized into cash,0,,Monthly,This facility is availed against import LC document or goods in transit supported by complete set of import documents to bridge working capital shortage until the goods in transit are realized into cash,0,FALSE,0,Credit category1,0,0,FALSE,0,FALSE,KFjxByv9,,0,,,Credit,,"➧ The applicant should be well established prominent credit customer of the Bank with healthy track records. ➧ Complete set of import documents such as bills of lading, truck/ air way bills, commercial invoices, certificate of origin, insurance certificate, packing list and other related documents should be submitted. ➧ The merchandise items should easily marketable, non-perishable and that have low sensitivity to changes in price, fashion or test of consumers",FALSE,,0
Personal-Loan(PL),Personal Loan,,Tsehay Bank,0,,,,,0,,FALSE,This loan shall be extended in the form of term loan to individuals for the purchase of consumer durables like household supplies,0,,Monthly,This loan shall be extended in the form of term loan to individuals for the purchase of consumer durables like household supplies,0,FALSE,0,Credit category1,0,0,FALSE,0,FALSE,KFjxByv9,,0,,,Credit,,"To be eligible for the loan, the account holder is expected to deposit at least for a year",FALSE,,0
Entrepreneurs’-Saving-Account(ESA),Entrepreneurs’ Saving Account,,NIB INTERNATIONAL BANK,0,,,,,,,FALSE,,,,Yearly,"Entrepreneurs’ saving account is designed to SME, Youths and Entrepreneurs who want to start or expand their business by saving a certain amount, and the remaining to be financed by the Bank.",,FALSE,0,Standard,0,,,,FALSE,,,0,,,Saving,,"SME, Youths and Entrepreneurs",FALSE,,
Retail-Consumer-Loan(RCL),Retail Consumer Loan,,Wegagen Bank,0,,,,,0,,FALSE,"This is a type of loan that is extended to permanent staff of the entities which have MOU agreement with Wegagen Bank in order to meet personal need fulfilment such as purchase of furniture & equipment, home appliances, and/or payment for tuition fee, medical expense etc.",0,,Monthly,"This is a type of loan that is extended to permanent staff of the entities which have MOU agreement with Wegagen Bank in order to meet personal need fulfilment such as purchase of furniture & equipment, home appliances, and/or payment for tuition fee, medical expense etc.",0,FALSE,0,Credit category1,0,0,FALSE,0,FALSE,h,,0,,,Credit,,Employer of the applicants should be generating FCY regularly or have large and stable depositor of Wegagen Bank. Applicants who fulfils General and specific eligibility Criteria of the Bank.,FALSE,,0
Warehouse-Receipt-Financing(WRF),Warehouse Receipt Financing,,Wegagen Bank,0,,,,,0,,FALSE,"•	Provides a relieve to the customer against cash flow problems arising from money being tied up in merchandise.",0,,Monthly,This is a financing mechanism in which Wegagen Bank provides loans/advances for members and clients of the ECX,0,FALSE,0,Credit category1,0,0,FALSE,0,FALSE,h,,0,monthly,,Credit,,"•	Offers affordable credit facility for applicants who can submit ECX warehouse receipt by pledging the warehouse receipts issued by the ECX in their names.",FALSE,,0
Saving-Account(SA),Saving Account,,NIB INTERNATIONAL BANK,50,,,,,,,TRUE,,,,Yearly,"Savings account is an interest bearing deposit. Individuals, organizations and associations can maintain saving accounts as long as they are legal and meet the procedural requirements set by the Bank",,FALSE,50,Standard,0,,,,FALSE,,,0,,,Saving,,Regular,FALSE,,
Escrow-Deposit-Account(EDA),Escrow Deposit Account,,Hibret Bank,0,,,,,,,FALSE,,,,Yearly,"It is a deposit account in which our Bank enters into a tripartite agreement to hold a fund (deposit) of two parties, already involved in a bi-lateral agreement, (for instance between Real Estate Developers and house buyers for sale and purchase of a house) before the fund is transferred from the seller to the buyer",,FALSE,0,targeted,0,,,,FALSE,E,,0,,,Saving,,"•	Legal Persons (Organizations) and natural persons (Individuals)",FALSE,,
Working-Capital-Term-Loan(WCTL),Working Capital Term Loan,,Wegagen Bank,0,,,,,0,,FALSE,for working capital to be repaid within a specific period of time,0,,Monthly,Working capital Term Loan is a loan granted for working capital to be repaid within a specific period of time usually with interest.,0,FALSE,0,Credit category1,0,0,FALSE,0,FALSE,h,,0,,,Credit,,Applicants who fulfils general and specific eligibility criteria of the Bank,FALSE,,0
Alegnita-Emergency-Loan(AEL),Alegnita Emergency Loan,,Wegagen Bank,0,,,,,0,,FALSE,"It is a personal loan offered for any emergency purposes to cover expenses such as medical expense, school fees, and other unplanned expenses",0,,Monthly,"It is a personal loan offered for any emergency purposes to cover expenses such as medical expense, school fees, and other unplanned expenses",0,FALSE,0,Credit category1,0,0,FALSE,0,FALSE,h,,0,,,Credit,,Applicants who have fulfils General and specific eligibility Criteria of the Bank,FALSE,,0
Motor-Vehicle-Loan(MVL),Motor Vehicle Loan,,Cooperative Bank Of Oromia,0,,,,,0,,FALSE,"Motor Vehicle Loan is a term loan granted for the purchase of new motor vehicles. The loan does not, however, include the cost of spare parts or luxury items.",0,,Monthly,"Motor Vehicle Loan is a term loan granted for the purchase of new motor vehicles. The loan does not, however, include the cost of spare parts or luxury items.",0,FALSE,0,Credit category1,0,0,FALSE,0,FALSE,a2yoGtTc,,0,,,Credit,,"•	The motor vehicles to be financed should meet the standard specification of the Ministry of Transport – Transport Authority. •	The motor vehicles to be bought shall only be new brand. •	The applicant should provide two proforma invoices from legally licensed supplier, but one proforma invoice for sole agent supplier, which will be verified by sole agent confirmation letter, and/or for suppliers with which the bank has business relationship.",FALSE,,0
SDSA,Salary Drawing Solution Account,,Awash International Bank,0,,,,,,,FALSE,,,,Yearly,salary saving,,FALSE,0,targeted,0,,,,FALSE,,,0,,,Saving,,salaried individual,FALSE,,
Iddir-Saving-Account(ISA),Iddir Saving Account,,Tsehay Bank,0,,,,,,,FALSE,,,,Monthly,"In the long-standing Ethiopian culture people set up different Iddir associations to assist each other in times of death. But recently some Iddirs have begun to assist each other in times of life as well. When this assistance in life is supported by banking service, it would benefit the Iddir and its members more. Tsehay Bank has an Iddir saving product which enriches Iddirs which have accounts at Tsehay Bank.",,FALSE,0,targeted,0,,,,FALSE,KFjxByv9,,0,,,Saving,,Established as Iddir,FALSE,,
Medium-Term-Loan(MTL),Medium Term Loan,,Tsehay Bank,0,,,,,0,,FALSE,"➧ Medium term loan is intended for the financing of the acquisition of fixed assets (buildings, leased land, construction and machinery, equipment, public transport vehicles, trucks and trailers, etc.), permanent working capital need of a business, the establishment of new projects and the expansion of an existing business",0,,Monthly,➧ Medium term loan shall be granted to the customer for loan period greater than one year but not exceeding a maximum period of five years,0,FALSE,0,Credit category1,0,0,FALSE,0,FALSE,KFjxByv9,,0,,,Credit,,,FALSE,,0
IBS,International Banking Services,,Awash International Bank,0,,,,,,,FALSE,,,,Yearly,non resident foriegn currency,,FALSE,0,Standard,0,,,,FALSE,,,0,,,Saving,,non resident,FALSE,,
Retention-Guarantee-(RG),Retention Guarantee (RG),,Wegagen Bank,0,,,,,0,,FALSE,"This is a guarantee issued by the Bank in favor of the party accepting to release the retention (Beneficiary), upon the request of the seller or contractor",0,,Monthly,"•	Retention guarantees provide security to a beneficiary, in the event that the seller or the contractor fails to perform his/ her/its obligation as per the terms and conditions of the contract",0,FALSE,0,Credit category1,0,0,FALSE,0,FALSE,h,,0,,,Credit,,Applicants who have fulfils General and specific eligibility Criteria of the Bank,FALSE,,0
Retail-Mortgage-Loan(RML),Retail Mortgage Loan,,Wegagen Bank,0,,,,,0,,FALSE,"•	Provides credit facility for purchasing and constructing (new or expansion within the same land holding certificate (LHC) by enlarging or by building a service",0,,Monthly,This is a loan facility extended to permanent staff of entities who have MOU agreement with the Bank,0,FALSE,0,Credit category1,0,0,FALSE,0,FALSE,h,,0,,,Credit,,Applicants who fulfils General and specific eligibility Criteria of the Bank,FALSE,,0
One-time-Merchandise-Loan(OTML),One-time Merchandise Loan,,Cooperative Bank Of Oromia,0,,,,,0,,FALSE,"merchandise loan availed only for a specified period, usually up to one year.",0,,Monthly,"merchandise loan availed only for a specified period, usually up to one year.",0,FALSE,0,Credit category1,0,0,FALSE,0,FALSE,a2yoGtTc,,0,,,Credit,,Business,FALSE,,0
ctp,Credit Test Product,,Commercial Bank of Ethiopia,0,,,,,0,,FALSE,,0,,Weekly,Credit desciption,0,FALSE,0,Credit category1,5,0,FALSE,100,FALSE,5,,0,,,Credit,,,TRUE,,0
Gamme-Junior-Account(GJA),Gamme-Junior Account,,Cooperative Bank Of Oromia,0,,,,,,,FALSE,,,,Yearly,"It is opened in the child’s name, but usually operated by parents and/or guardians until the child is old enough to manage the account by herself/himself. It can also be opened and operated by the children themselves independent of parents/guardians if it is proved that they have an income of their own",,FALSE,0,Standard,0,,,,FALSE,a2yoGtTc,,0,,,Saving,,children aged 0-14 years,FALSE,,
Equipment/Machineries-Lease-Financing(EMLF),Equipment/Machineries Lease Financing,,Cooperative Bank Of Oromia,0,,,,,0,,FALSE,"The Bank may avail Equipment/Machineries Lease Financing to either of the parties to the lease agreement – lessee or lessor. The capital goods include earthmoving machines, construction vehicles, combiner, harvesters, etc. that are considered as essential to conduct business in any sector of the economy",0,,Monthly,"The Bank may avail Equipment/Machineries Lease Financing to either of the parties to the lease agreement – lessee or lessor. The capital goods include earthmoving machines, construction vehicles, combiner, harvesters, etc. that are considered as essential to conduct business in any sector of the economy",0,FALSE,0,Credit category1,0,0,FALSE,0,FALSE,a2yoGtTc,,0,,,Credit,,,FALSE,,0
Provident-Fund-Account(PFA),Provident Fund Account,,Berhan Bank,0,,,,,,,FALSE,,,,Yearly,A Provident fund account is an account that can be opened by employer on behalf of employee for special saving purpose.,,FALSE,0,targeted,0,,,,FALSE,1kOT4VpC,,0,,,Saving,,,FALSE,,
Fixed-Time-Deposit-Account(FTDA),Fixed Time Deposit Account,,Berhan Bank,0,,,,,,,FALSE,,,,Yearly,It is an interest bearing account with agreed maturity date. The minimum maturity period is three months,,FALSE,0,Standard,0,,,,FALSE,1kOT4VpC,,0,,,Saving,,Regular,FALSE,,
Construction-Machinery-and-Equipment-Loan(CMEL),Construction Machinery and Equipment Loan,,Wegagen Bank,0,,,,,0,,FALSE,"•	Provides financing for purchase of construction machinery such as dozers, graders, loaders, excavators, scrapers, rollers, asphalt pavers, crushers, concrete batching plants, concrete pavers, cranes, drilling rigs, wagon drills, chip spreaders, and concrete mixers(mounted on trucks), dump trucks, etc.",0,,Monthly,This is an asset financing term loan availed for the purchase of construction machinery,0,FALSE,0,Credit category1,0,0,FALSE,0,FALSE,h,,0,,,Credit,,Applicants who fulfil general and specific eligibility Criteria of the Bank,FALSE,,0
Lucy-Saving(LS),Lucy Saving,,NIB INTERNATIONAL BANK,0,,,,,,,TRUE,,,,Yearly,Lucy deposit account is women saving account established to encourage women to save and earn higher interest rate,,FALSE,0,Standard,0,,,,TRUE,,,0,,,Saving,,women,FALSE,,
Overdraft-Facility(OF),Overdraft Facility,,Wegagen Bank,0,,,,,0,,FALSE,WORKING CAPTAL,0,,Monthly,for business borrowers by which the borrower may be allowed to draw beyond the deposits under its current accounts for the sole purpose of the day-to- day operational needs of a viable and ongoing business.,0,FALSE,0,Credit category1,0,0,FALSE,0,FALSE,h,,0,,,Credit,,Applicants who fulfils General and specific eligibility Criteria of the Bank and have good account utilization with our or other Banks. (Applicants who have good account utilization with other Bank should promise to transfer their account transaction to our Bank,FALSE,,0
Merchandise-Loan(ML),Merchandise Loan,,Dashen Bank,0,,,,,0,,FALSE,It is a short term credit facility that alleviate the problem of inadequate cash flow resulting from working fund being tied up by the merchandise purchased for resale [locally or internationally] or to be used as input for production,0,,Yearly,It is a short term credit facility that alleviate the problem of inadequate cash flow resulting from working fund being tied up by the merchandise purchased for resale [locally or internationally] or to be used as input for production,0,FALSE,0,Credit category1,0,0,FALSE,0,FALSE,Q,,0,,,Credit,,,FALSE,,0
Bid-Bond-Guarantee-(BBD),Bid Bond Guarantee ,,Wegagen Bank,0,,,,,0,,FALSE,"•	A bid bond may be issued by the Bank to a foreign beneficiary provided that the bidder has obtained a foreign currency permit from the NBE",0,,Monthly,Bid bonds are issued to beneficiaries on behalf of clients to enable them participate in bids,0,FALSE,0,Credit category1,0,0,FALSE,0,FALSE,h,,0,,,Credit,,Applicants who have fulfils General and specific eligibility Criteria of the Bank,FALSE,,0
–-Iqqub-Account-(IQA),– Iqqub Account ,,Bank of Abyssinia,0,,,,,,,FALSE,,,,Yearly,"saving account designed for an association of natural persons for temporarily or permanently, depending on the needs of the members. The account offers relatively higher interest rate than the ordinary savings account",,FALSE,0,Standard,0,,,,FALSE,g,,0,,,Saving,,regular,FALSE,,
Oro-Interest-Plus(OIP),Oro Interest Plus,,Oromia Bank,0,,,,,,,FALSE,,,,Yearly,It is a product designed to offer greater interest rates than conventional savings interest rates to specified groups of customers.,,FALSE,0,targeted,0,,,,FALSE,y,,0,,,Saving,,Regular,FALSE,,
Silanchi-Saving(SS),Silanchi Saving,ስላንቺ ,Enat Bank,0,,,,,,,FALSE,,,,Monthly,"Silanchi” is a special women saving account with high interest rate and different benefit packages. It consists, mortgage loan, vehicle loan and personal loan facilitations for women",,FALSE,0,targeted,7.5,,,,TRUE,O,,-9,,,Saving,,WOMEN,FALSE,,
Students-Saving-Account(SSA),Students Saving Account,,NIB INTERNATIONAL BANK,50,,,,,,,TRUE,,,,Yearly,This deposit account is established to students to attend higher education and settlement of cost-sharing scheme,,FALSE,50,Standard,0,,,,FALSE,,,0,,,Saving,,student,FALSE,,
Ordinary-Saving-Account(OSA),Ordinary Saving Account,,Tsehay Bank,25,,,,,,,TRUE,,,,Monthly,Ordinary Saving Account is a deposit type that bears interest and can be maintained by individuals or legal persons.,,FALSE,0,Standard,0,,,,FALSE,KFjxByv9,,0,,,Saving,,All natural and legal persons recognized by Ethiopian laws ➧ Minors through their parents or guardians ➧ Interdicted persons through their legal guardians,FALSE,,
Woman’s-Saving-Account-(WSA),Woman’s Saving Account (Kibirt),ክብርት,Tsehay Bank,0,,,,,,,TRUE,,,,Monthly,SAVING FOR WOMEN,,FALSE,0,Standard,0,,,,TRUE,KFjxByv9,,0,,,Saving,,Women whose age are 18 and above; and ➧ Associations with a majority of women members.,FALSE,,
Supplier-Credit-Saving(SCS),Supplier Credit Saving,,Wegagen Bank,0,,,,,,,FALSE,,,,Yearly,Saving accounts operated by customers who have approvals of freight track on supplies credit so as to process the settlement of supplier credit loan repayment and exchange rate fluctuation,,FALSE,0,targeted,0,,,,FALSE,h,,0,,,Saving,,individual business owner/ corporate,FALSE,,
Overdraft-Facility(OF),Overdraft Facility,,Bank of Abyssinia,0,,,,,0,,FALSE,"By making a credit agreement with BoA, account holders can withdraw more money than what they have in their account for their operational needs of viable and ongoing business",0,,Monthly,"By making a credit agreement with BoA, account holders can withdraw more money than what they have in their account for their operational needs of viable and ongoing business",0,FALSE,0,Credit category1,0,0,FALSE,0,FALSE,g,,0,,,Credit,,Regular,FALSE,,0
Saving-Account-for-Vacation-Travel-(Picnic)(SAV),Saving Account for Vacation Travel (Picnic),,Tsehay Bank,0,,,,,,,FALSE,,,,Monthly,Vacation needs preparation ahead and needs to save up for it. Tsehay Bank understands customer`s desire to enjoy their vacation and offers a saving account for that purpose,,FALSE,0,targeted,0,,,,FALSE,KFjxByv9,,0,,,Saving,,Regular,FALSE,,
Special-Saving-Account(SSA),Special Saving Account,,Cooperative Bank Of Oromia,0,,,,,,,FALSE,,,,Yearly,Special savings account is an interest-bearing account which is opened by individual customers and can be operated with cheques. It has similarity with other category of active saving accounts with the exception that individuals use cheques to operate this account,,FALSE,0,Standard,0,,,,FALSE,a2yoGtTc,,0,,,Saving,,REGULAR INDIVIDUALS,FALSE,,
Education-Saving-Account(ESA),Education Saving Account,,Tsehay Bank,0,,,,,,,FALSE,,,,Monthly,Education saving account is a saving account which would be spent for higher education.,,FALSE,0,Standard,0,,,,FALSE,KFjxByv9,,0,,,Saving,,Any individual above the age of 18 ➧ Minors through their parents or guardians ➧ Interdicted persons through their legal representatives/ guardians,FALSE,,
Student-Loan(SL),Student Loan,,Dashen Bank,0,,,,,0,,FALSE,"A term loan granted for students of Ethiopian nationals who want to pursue their tertiary education; including tuition fees, purchase of school materials and other expenses required to complete the study.",0,,Yearly,"A term loan granted for students of Ethiopian nationals who want to pursue their tertiary education; including tuition fees, purchase of school materials and other expenses required to complete the study.",0,FALSE,0,Credit category1,0,0,FALSE,0,FALSE,Q,,0,,,Credit,,student,FALSE,,0
Fixed-Time-Deposit(FTD),Fixed Time Deposit,,Amhara Bank,0,,,,,,,FALSE,,,,Monthly,Opened for fixed agreed period,,FALSE,0,targeted,0,,,,FALSE,U,,0,,,Saving,,Regular,FALSE,,
